nid,vid,title,author_uid,spec_type,display_name,marketing_tagline,featured_image,elevation,floorplan,community,mls_number,price,marketing_flag,date_sold,Incentive,Incentive (short),hers_index_score,address,city,state,zip_code,latitude,longitude,body,content_image,square_feet,bedrooms,full_baths,half_baths,floors,garage(s),master,downloadable_brochure,property_video,marketing_images,school(s),highlight _news,highlight_news_background_color,featured_image_alt_text,featured_image_title_text,content_image_alt_text,content_image_title_text,status,post_date,updated_date,promoted_to_front_page,sticky,source,path
3744,3753,461 Summit Hills Circle,1023,Move-In Ready Homes,461 Summit Hills Circle,Model Home,24856,Devonshire A,Devonshire,Summit Hills,474406,267900,Now Available,2019-06-26 0:00:00,,,,461 Summit Hills Circle,Columbia,SC,29229,34.16,-80.9,,,2595,4,2,1,2,2,Up,,,24857|24858|24859|24860|24861|24862|24863|24864|24865|24866|24867|24868|24869|24870|24871|24872|24873|24874|24875|24876|24877|24878|24879|24880|24881|24882|24883|24884|24885|24886,"Rice Creek Elementary School,Kelly Mill Middle School,Ridgeview High School",,,,,,,1,1561581925,1561581925,0,0,node/3744,/properties/461-summit-hills-circle
3743,3752,3750 Moseley Drive (Lot 108),199,Move-In Ready Homes,,,24852,Beaujolais B,Beaujolais,Stafford Meadows,,240000,Normal,2019-06-26 0:00:00,,,,3750 Moseley Drive (Lot 108),Sumter,SC,29154,33.93,-80.44,,,3124,5,3,,2,2,,,,,"Cherryvale Elementary School,Furman Middle School,Sumter High School",,,,,,,1,1561570904,1561571099,0,0,node/3743,/properties/3750-moseley-drive-lot-108
3742,3751,39 Sixty Oaks Lane,57,Move-In Ready Homes,39 Sixty Oaks Lane,,24838,Azalea A4 (Full Brick),Azalea,Fair Havens,473689,364216,Normal,2019-06-25 0:00:00,,,,,Elgin,SC,29045,34.2,-80.75,,,2950,4,3,,2,2,,,,,,,,,,,,1,1561496355,1561496355,0,0,node/3742,/properties/39-sixty-oaks-lane
3741,3750,1302 Chestnut Road,57,Move-In Ready Homes,1302 Chestnut Road,,24837,Bradley B,Bradley I,Chestnut Grove,474092,270683,Normal,2019-06-25 0:00:00,,,,,Elgin,SC,29045,34.2,-80.79,,,3040,5,3,,2,2,,,,,,,,,,,,1,1561489275,1561489275,0,0,node/3741,/properties/1302-chestnut-road
3740,3749,1298 Chestnut Road,57,Move-In Ready Homes,1298 Chestnut Road,,24836,Bentgrass B,Bentgrass - all brick,Chestnut Grove,474090,223271,Normal,2019-06-25 0:00:00,,,,,Elgin,SC,29045,34.2,-80.79,,,2272,5,3,,2,2,,,,,,,,,,,,1,1561489101,1561489101,0,0,node/3740,/properties/1298-chestnut-road
3739,3748,1276 Chestnut Rd,58,Move-In Ready Homes,1276 Chestnut Rd,"Live Green, Live Smart!",24835,Devonshire A,Devonshire,Chestnut Grove,474346,240178,Now Available,2019-06-25 0:00:00,,,,,Elgin,SC,29045,34.2,-80.79,,,2570,4,2,1,2,2,,,,,,,,,,,,1,1561488305,1561488305,0,0,node/3739,/properties/1276-chestnut-rd
3738,3747,411 Blue Garden Way (Lot 58),215,Move-In Ready Homes,,,24834,Riverbend B,Riverbend,Spring Meadow,,214075,Now Available,,,,,411 Blue Garden Way,Columbia,SC,29223,34.13,-80.92,,,2038,4,3,1,2,2,,,,,,,,,,,,1,1561396547,1561396547,0,0,node/3738,/properties/411-blue-garden-way-lot-58
3737,3746,417 Blue Garden Way (Lot 59),215,Move-In Ready Homes,,,24811,Buckley A,Buckley,Spring Meadow,,193649,Now Available,,,,,417 Blue Garden Way,Columbia,SC,29223,34.13,-80.92,,,1748,3,2,1,2,2,,,,24812|24813|24814|24815|24816|24817|24818|24819|24820|24821|24822|24823|24824|24825|24826|24827|24828|24829|24830|24831|24832,,,,,,,,1,1561395202,1561395592,0,0,node/3737,/properties/417-blue-garden-way-lot-59
3736,3745,366 Spring Meadow Road (Lot 45),215,Move-In Ready Homes,,,24791,Bentgrass C,Bentgrass - all brick,Spring Meadow,,214015,Now Available,,,,,366 Spring Meadow Road,Columbia,SC,29223,34.13,-80.92,,,2272,5,3,,2,2,,,,24792|24793|24794|24795|24796|24797|24798|24799|24800|24801|24803|24804|24805|24806|24807|24808|24809|24810,,,,,,,,1,1561393861,1561394257,0,0,node/3736,/properties/366-spring-meadow-road-lot-45
3735,3744,Walnut Creek Model Home,255,Move-In Ready Homes,,,24741,Aberdeen A,Aberdeen,Walnut Creek,,,Normal,2019-06-18 0:00:00,,,,,Elgin,SC,29045,,,,,2394,4,3,1,2,2,,,,,,,,,,,,0,1560871963,1560871963,0,0,node/3735,/properties/walnut-creek-model-home
3734,3743,33 Sixty Oaks Lane,58,Move-In Ready Homes,33 Sixty Oaks Lane,"Live Green, Live Smart!",24688,Magnolia C Sideload,Magnolia,Fair Havens,473747,343360,Now Available,,,,,,Elgin,SC,29045,34.2,-80.75,,,2510,4,3,0,1,2,,,,,,,,,,,,1,1560800792,1560800792,0,0,node/3734,/properties/33-sixty-oaks-lane
3733,3742,1080 Acacia Lane,1023,Move-In Ready Homes,1080 Acacia Lane,,24627,Wellington II B,Wellington II,Summit Hills,473518,197434,Normal,2019-06-13 0:00:00,,,,1080 Acacia Lane,Columbia,SC,29229,34.16,-80.9,,,1798,4,2,1,2,2,Up,,,24628|24629|24630|24631|24632|24633|24634|24635|24636|24637|24638|24639|24640|24641|24642|24643|24644|24645|24646|24647|24648|24649|24650|24651|24652,"Rice Creek Elementary School,Kelly Mill Middle School,Ridgeview High School",,,,,,,1,1560460618,1560460618,0,0,node/3733,/properties/1080-acacia-lane
3732,3741,826 Frogmore Way,1795,Move-In Ready Homes,,"High-Tech, Smart Home",24589,Bentgrass C,Bentgrass - all brick,Drayton Hall,,202109,Normal,2019-06-12 0:00:00,,,,826 Frogmore Way,West Columbia,SC,29172,33.9,-81.06,,,2272,5,3,,2,2,,,,,,,,,,,,1,1560345391,1560774479,0,0,node/3732,/properties/826-frogmore-way
