"tid","title","school_type","school_district","quadrant","term_description","weight","parent"
"714","Springdale Elementary School","Elementary School","Lexington 2","Lexington / West Columbia","","78","12"
"1310","St. Andrews Middle","Middle School","Richland 1","St. Andrews","","138","13"
"1163","St. James Elementary","Elementary School","Horry County Schools","Murrells Inlet","","79","12"
"1165","St. James High School","High School","Horry County Schools","Murrells Inlet","","184","14"
"1164","St. James Middle","Middle School","Horry County Schools","Murrells Inlet","","139","13"
"123","Summit Parkway Middle School","Middle School","Richland 2","NE Columbia / Blythewood","","140","13"
"101","Sumter High School","High School","Sumter County","Sumter","","185","14"
"713","Swansea Elementary School","Elementary School","Lexington 4","Lexington / West Columbia","","80","12"
"717","Swansea High School","High School","Lexington 4","Lexington / West Columbia","","186","14"
"1645","Ten Oaks Middle Schools","Middle School","Horry County Schools","Myrtle Beach","","141","13"
"1130","Waccamaw Elementary School","Elementary School","Georgetown County","Litchfield Beach","","81","12"
"1132","Waccamaw High School","High School","Georgetown County","Litchfield Beach","","187","14"
"1131","Waccamaw Middle School","Middle School","Georgetown County","Litchfield Beach","","142","13"
"84","Wateree Elementary School","Elementary School","Kershaw County","NE Columbia / Blythewood","","82","12"
"731","West Florence High School","High School","Florence 01","Florence","","188","14"
"102","Westwood High School","High School","Richland 2","NE Columbia / Blythewood","","189","14"
"85","White Knoll Elementary School","Elementary School","Lexington 1","Lexington / West Columbia","","83","12"
"103","White Knoll High School","High School","Lexington 1","Lexington / West Columbia","","190","14"
"124","White Knoll Middle School","Middle School","Lexington 1","Lexington / West Columbia","","143","13"
"949","Wilder Elementary","Elementary School","Sumter County","Sumter","","84","12"
"86","Windsor Elementary School","Elementary School","Richland 2","NE Columbia / Blythewood","","85","12"
"1072","Woodmont High School","High School","Greenville County Schools","Greenville","","191","14"
"1071","Woodmont Middle School","Middle School","Greenville County Schools","Greenville","","144","13"
